T,X,Y,Z,RX,RY,RZ
1332369,0.7080078125,0.046875,0.71728515625,-0.00238037109375,0.00189208984375,-0.000244140625
1332374,0.7099609375,0.04931640625,0.68505859375,-0.00244140625,0.001953125,-0.00054931640625
1332378,0.70849609375,0.0419921875,0.70703125,-0.00244140625,0.001953125,-0.00030517578125
1332383,0.705078125,0.04248046875,0.69384765625,-0.00244140625,0.00189208984375,-0.00030517578125
1332387,0.70361328125,0.05224609375,0.7060546875,-0.00238037109375,0.00177001953125,-0.00030517578125
1332392,0.7060546875,0.0498046875,0.7041015625,-0.0023193359375,0.00177001953125,-0.00030517578125
1332396,0.7119140625,0.04638671875,0.6845703125,-0.00238037109375,0.00201416015625,-0.0001220703125
1332400,0.70947265625,0.0458984375,0.70458984375,-0.00238037109375,0.00177001953125,-0.000244140625
1332404,0.70654296875,0.0546875,0.6962890625,-0.00250244140625,0.00164794921875,-0.0003662109375
1332409,0.7021484375,0.04345703125,0.70263671875,-0.00262451171875,0.001953125,-0.00048828125
1332413,0.7138671875,0.0478515625,0.7041015625,-0.00244140625,0.00146484375,-0.00030517578125
1332418,0.703125,0.04833984375,0.69970703125,-0.00238037109375,0.002197265625,-0.00030517578125
1332423,0.71337890625,0.04248046875,0.69775390625,-0.00262451171875,0.00177001953125,-0.0003662109375
1332427,0.70361328125,0.0390625,0.7001953125,-0.0025634765625,0.00177001953125,-0.00042724609375
1332431,0.69921875,0.044921875,0.70947265625,-0.00244140625,0.002197265625,-0.00042724609375
1332435,0.705078125,0.046875,0.693359375,-0.00274658203125,0.0015869140625,-0.00018310546875
1332440,0.69921875,0.04833984375,0.693359375,-0.00250244140625,0.001953125,-0.000244140625
1332444,0.7001953125,0.03955078125,0.6953125,-0.0023193359375,0.00213623046875,-0.000244140625
1332449,0.70556640625,0.05078125,0.6923828125,-0.0023193359375,0.00189208984375,-0.00030517578125
1332453,0.7099609375,0.04052734375,0.701171875,-0.00238037109375,0.00225830078125,-0.00018310546875
1332458,0.71240234375,0.048828125,0.69873046875,-0.00262451171875,0.00152587890625,-0.000244140625
1332462,0.703125,0.04443359375,0.69970703125,-0.0025634765625,0.00201416015625,-0.0003662109375
1332466,0.705078125,0.05322265625,0.69677734375,-0.00238037109375,0.002197265625,-0.00042724609375
1332471,0.7109375,0.05029296875,0.7001953125,-0.0025634765625,0.00152587890625,-0.00042724609375
1332475,0.7041015625,0.04150390625,0.7080078125,-0.00250244140625,0.002197265625,-0.00018310546875
1332479,0.701171875,0.04541015625,0.7021484375,-0.0023193359375,0.00164794921875,-0.00030517578125
1332483,0.705078125,0.0400390625,0.7080078125,-0.00250244140625,0.001708984375,-0.00042724609375
1332488,0.708984375,0.04736328125,0.708984375,-0.00250244140625,0.00201416015625,-0.00018310546875
1332492,0.70947265625,0.048828125,0.70458984375,-0.00250244140625,0.00146484375,-0.00030517578125
1332496,0.7099609375,0.0498046875,0.69482421875,-0.00262451171875,0.0018310546875,-0.0003662109375
1332500,0.7021484375,0.05029296875,0.6943359375,-0.00244140625,0.00213623046875,-0.00018310546875
1332504,0.70263671875,0.05029296875,0.68798828125,-0.00238037109375,0.00152587890625,-0.00048828125
1332508,0.7109375,0.04443359375,0.69287109375,-0.00262451171875,0.002197265625,-0.00030517578125
1332512,0.71240234375,0.046875,0.701171875,-0.00250244140625,0.00189208984375,-0.0003662109375
1332516,0.7041015625,0.044921875,0.703125,-0.00274658203125,0.0015869140625,-0.00054931640625
1332520,0.7060546875,0.04931640625,0.70263671875,-0.00250244140625,0.001953125,-0.00030517578125
1332523,0.6982421875,0.052734375,0.69287109375,-0.00244140625,0.0018310546875,-0.00030517578125
1332527,0.70361328125,0.0419921875,0.70947265625,-0.00250244140625,0.00164794921875,-0.000244140625
1332531,0.71044921875,0.0546875,0.705078125,-0.00250244140625,0.00189208984375,-0.00030517578125
1332535,0.70751953125,0.0400390625,0.7080078125,-0.00244140625,0.00177001953125,-0.000244140625
1332539,0.7001953125,0.0498046875,0.68896484375,-0.00250244140625,0.0015869140625,-0.00054931640625
1332544,0.70654296875,0.05322265625,0.6943359375,-0.0023193359375,0.00213623046875,-0.000244140625
1332549,0.7099609375,0.046875,0.69189453125,-0.0025634765625,0.001708984375,-0.00054931640625
1332553,0.7080078125,0.046875,0.69677734375,-0.00262451171875,0.00189208984375,-0.00030517578125
