"DataStream_x","DataStream_y"
404,7.6989,
405,8.7558,
406,8.5344,
407,10.177,
408,8.7722,
409,7.1544,
410,9.0176,
411,7.344,
412,8.4246,
413,7.3085,
414,8.3906,
415,11.9811,
416,8.7351,
417,8.0676,
418,8.7247,
419,8.8657,
420,12.2541,
421,9.5388,
422,7.7373,
423,9.0233,
424,6.9665,
425,9.0723,
426,8.1454,
427,16.183,
428,7.8314,
429,8.4904,
430,7.5012,
431,7.7812,
432,12.1002,
433,8.1969,
434,8.8413,
435,7.9447,
436,8.243,
437,10.846,
438,8.7688,
439,6.9508,
440,10.2226,
441,8.6479,
442,11.1061,
443,10.4379,
444,7.9027,
445,8.697,
446,7.1179,
447,9.7139,
448,10.5385,
449,8.0843,
450,7.8757,
451,7.6116,
452,9.2172,
453,11.2776,
454,10.6721,
455,9.2903,
456,8.3255,
457,8.5859,
458,9.6335,
459,9.3625,
460,12.0607,
461,9.652,
462,10.2822,
463,8.5413,
464,11.952,
465,10.4386,
466,8.6908,
467,7.9755,
468,9.5147,
469,9.9143,
470,9.1568,
471,7.1003,
472,9.3653,
473,8.5129,
474,11.2062,
475,10.1434,
476,8.2942,
477,8.1942,
478,8.6398,
479,9.4748,
480,9.8788,
481,9.5192,
482,8.5424,
483,8.5556,
484,10.0101,
485,8.3954,
486,9.2436,
487,13.1967,
488,10.107,
489,8.9907,
490,8.7054,
491,9.1972,
492,8.2582,
493,10.7152,
494,9.492,
495,8.6807,
496,7.1319,
497,8.699,
498,7.6761,
499,9.8613,
500,11.6799,
501,10.1118,
502,8.548,
503,7.9542,
504,9.8072,
505,13.2561,
506,8.8393,
507,8.7085,
508,8.0658,
509,8.379,
510,11.3057,
511,7.8539,
512,9.0783,
513,7.6979,
514,7.8848,
515,11.2021,
516,9.718,
517,8.1936,
518,7.7289,
519,8.6528,
520,7.6569,
521,8.7636,
522,7.6105,
523,8.348,
524,7.6894,
525,10.9292,
526,12.059,
527,8.2728,
528,10.317,
529,8.0817,
530,10.0289,
531,13.2367,
532,9.2132,
533,9.0789,
534,13.4813,
535,8.3531,
536,8.4454,
537,11.2084,
538,7.7026,
539,9.4743,
540,8.0878,
541,9.3116,
542,9.1131,
543,9.0614,
544,13.7243,
545,9.6409,
546,8.5842,
547,10.4449,
548,9.602,
549,8.9191,
550,10.1765,
551,11.6407,
552,10.4713,
553,10.5478,
554,7.5311,
555,10.8791,
556,8.1102,
