"DataStream_x","DataStream_y"
403,16.2361,
404,9.9978,
405,11.7594,
406,11.7749,
407,12.3676,
408,10.2116,
409,10.5897,
410,9.5795,
411,11.6115,
412,9.5441,
413,9.9469,
414,10.0809,
415,10.0496,
416,9.9422,
417,9.4244,
418,10.9591,
419,9.5648,
420,9.5834,
421,9.8225,
422,14.8403,
423,12.533,
424,9.6801,
425,12.4539,
426,12.2459,
427,11.6849,
428,10.6506,
429,9.879,
430,10.1631,
431,10.6804,
432,9.8647,
433,10.4073,
434,9.5092,
435,10.7741,
436,9.6092,
437,9.2853,
438,10.0942,
439,9.2453,
440,9.9402,
441,9.635,
442,15.5222,
443,13.7016,
444,12.0474,
445,10.3467,
446,11.4531,
447,12.746,
448,16.1148,
449,12.2261,
450,11.3096,
451,12.5713,
452,10.5321,
453,10.2733,
454,10.3436,
455,9.8668,
456,10.9254,
457,11.2766,
458,9.3879,
459,18.1838,
460,14.0346,
461,11.7181,
462,10.8991,
463,9.6854,
464,18.6583,
465,13.5033,
466,11.2032,
467,12.0192,
468,11.261,
469,12.0287,
470,11.9089,
471,11.1665,
472,11.6921,
473,11.9801,
474,12.4852,
475,20.5342,
476,11.9323,
477,15.0845,
478,12.0192,
479,13.3867,
480,16.6342,
481,13.454,
482,12.1738,
483,11.9608,
484,12.5816,
485,12.9511,
486,11.9216,
487,11.7338,
488,10.9909,
489,12.3971,
490,12.171,
491,13.676,
492,14.7047,
493,13.1869,
494,10.4522,
495,10.6521,
496,12.7013,
497,16.7113,
498,13.351,
499,11.958,
500,13.8802,
501,12.8876,
502,12.1057,
503,11.8128,
504,11.7183,
505,11.7076,
506,13.0269,
507,14.5326,
508,11.9381,
509,17.5503,
510,11.6423,
511,11.3642,
512,10.0801,
513,11.003,
514,13.441,
515,10.9205,
516,10.3863,
517,11.7509,
518,14.5129,
519,11.7911,
520,12.6779,
521,11.0674,
522,12.7579,
523,13.7541,
524,11.3865,
525,11.6034,
526,11.1489,
527,12.673,
528,12.9272,
529,12.0531,
530,10.0019,
531,11.7633,
532,10.1706,
533,13.5531,
534,10.388,
535,10.7074,
536,11.2694,
537,15.2584,
538,10.9166,
539,11.1816,
540,10.7935,
541,15.6153,
542,11.5821,
543,12.0805,
544,11.5581,
545,15.4598,
546,12.7235,
547,12.0025,
548,12.493,
549,14.1685,
550,11.2058,
551,11.0788,
552,12.543,
553,11.4621,
554,10.5923,
555,9.7583,
556,10.2891,
557,15.1497,
558,10.9301,
559,10.6399,
560,10.817,
561,15.1012,
562,11.6101,
563,11.7807,
564,14.188,
565,15.5628,
566,11.9687,
567,11.5039,
568,14.0381,
569,10.5947,
570,11.4106,
571,10.3303,
572,13.7921,
573,10.2318,
574,10.4983,
575,10.238,
576,11.0811,
577,15.3782,
578,12.7394,
579,10.9322,
580,14.0328,
581,12.5341,
582,12.2072,
583,12.6062,
584,15.2524,
585,11.0736,
586,11.6019,
587,11.6941,
588,12.5699,
589,11.25,
590,10.6893,
591,10.6264,
592,10.7025,
593,12.7332,
594,11.7682,
595,10.1635,
596,11.0474,
597,14.3623,
598,10.9327,
599,10.6591,
600,11.1332,
601,13.8158,
602,11.7533,
603,11.6952,
604,12.4456,
