"DataStream_x","DataStream_y"
404,16.2323,
405,18.5663,
406,16.4602,
407,19.0522,
408,15.9091,
409,18.0274,
410,19.8937,
411,16.2323,
412,17.0595,
413,20.4609,
414,16.4382,
415,19.5737,
416,16.1766,
417,15.6328,
418,18.7344,
419,16.6572,
420,15.5553,
421,15.7212,
422,15.5112,
423,20.4214,
424,16.2506,
425,16.2143,
426,19.3771,
427,16.7425,
428,15.1278,
429,17.7131,
430,15.7364,
431,15.1894,
432,18.6055,
433,15.8583,
434,15.6997,
435,20.1381,
436,16.0667,
437,16.4696,
438,18.9149,
439,16.0931,
440,15.6582,
441,16.0187,
442,18.696,
443,15.7816,
444,19.3483,
445,16.9749,
446,16.0886,
447,22.0429,
448,17.7926,
449,21.3851,
450,16.4004,
451,15.7485,
452,17.9076,
453,14.9919,
454,15.7133,
455,15.1892,
456,13.6024,
457,13.9733,
458,14.2694,
459,14.1,
460,15.0291,
461,16.8292,
462,14.2037,
463,13.7683,
464,18.7241,
465,16.7622,
466,13.3404,
467,15.9507,
468,18.185,
469,15.0622,
470,16.7733,
471,16.8929,
472,15.6719,
473,17.9025,
474,15.6904,
475,16.1596,
476,18.99,
477,15.822,
478,17.0545,
479,15.9116,
480,20.1091,
481,15.8619,
482,17.6576,
483,20.8179,
484,16.2375,
485,18.9984,
486,17.0021,
487,16.1592,
488,19.7,
489,14.8908,
490,15.9857,
491,17.3092,
492,17.2715,
493,15.0512,
494,18.8242,
495,15.9337,
496,15.5984,
497,20.6132,
498,17.255,
499,17.0005,
500,22.3742,
501,17.4305,
502,20.2732,
503,16.5204,
504,16.2266,
505,19.5091,
506,17.4783,
507,23.8037,
508,19.4292,
509,19.1205,
510,21.224,
511,15.437,
512,17.6122,
513,15.3207,
514,14.4923,
515,14.7302,
516,17.3695,
517,14.8951,
518,16.6551,
519,20.1217,
520,16.901,
521,16.8685,
522,23.7613,
523,19.1332,
524,18.2632,
525,16.822,
526,16.6421,
527,21.091,
528,16.2466,
529,16.3722,
530,20.3589,
531,16.4122,
532,21.0865,
533,17.197,
534,18.7499,
535,20.8542,
536,15.7908,
537,16.9714,
538,19.2406,
539,16.7749,
540,21.7807,
541,18.5936,
542,18.6088,
543,21.3248,
544,18.2963,
545,18.2305,
546,22.9584,
547,18.3965,
548,20.0884,
549,17.5098,
550,17.7884,
551,16.8995,
552,20.5896,
553,17.9232,
554,20.6908,
555,17.1985,
556,17.4346,
557,20.9343,
558,17.1539,
559,20.1759,
560,16.9513,
561,19.0899,
562,19.743,
563,18.0359,
564,21.3715,
565,19.0968,
566,18.191,
567,22.0546,
568,17.8139,
569,18.6894,
570,17.5997,
571,18.0655,
572,19.1741,
573,17.0191,
574,17.6406,
575,23.9162,
