"DataStream_x","DataStream_y"
403,7.9381,
404,7.4989,
405,7.6515,
406,7.1093,
407,9.2808,
408,12.1475,
409,7.2592,
410,7.3993,
411,7.1456,
412,8.9556,
413,7.4331,
414,7.3845,
415,10.1075,
416,7.9156,
417,7.5045,
418,7.7246,
419,7.5566,
420,7.5915,
421,7.8166,
422,7.8119,
423,7.7956,
424,9.7052,
425,7.7815,
426,7.4613,
427,7.505,
428,8.8177,
429,7.6571,
430,7.5004,
431,7.9921,
432,11.2542,
433,7.9926,
434,7.4703,
435,12.9068,
436,7.6722,
437,8.1378,
438,9.6936,
439,9.5149,
440,8.8535,
441,7.6664,
442,8.3601,
443,7.6721,
444,7.5864,
445,11.6472,
446,8.2134,
447,8.251,
448,8.7963,
449,7.892,
450,8.0149,
451,10.7243,
452,12.5958,
453,8.397,
454,8.5502,
455,8.0866,
456,8.1256,
457,8.408,
458,10.6464,
459,8.5765,
460,7.9032,
461,7.8997,
462,7.8981,
463,8.1024,
464,7.9174,
465,11.1485,
466,8.5719,
467,8.0475,
468,8.0549,
469,8.0141,
470,7.9224,
471,8.0885,
472,9.8652,
473,8.6647,
474,9.0909,
475,8.379,
476,8.4398,
477,8.3502,
478,9.2611,
479,11.1745,
480,9.6467,
481,7.8682,
482,8.7029,
483,7.9781,
484,7.9276,
485,8.8967,
486,10.0569,
487,8.5007,
488,8.3245,
489,7.9998,
490,8.8885,
491,8.0405,
492,11.232,
493,10.3537,
494,8.2082,
495,9.3737,
496,8.4777,
497,10.3173,
498,12.539,
499,9.2146,
500,8.8858,
501,7.948,
502,7.7773,
503,7.919,
504,8.96,
505,14.1791,
506,9.429,
507,10.9124,
508,8.8903,
509,7.5133,
510,8.3864,
511,12.4361,
512,7.9348,
513,8.0131,
514,7.7522,
515,8.7554,
516,10.0523,
517,9.3397,
518,7.6009,
519,8.483,
520,7.7907,
521,8.3976,
522,10.0426,
523,8.5602,
524,8.2749,
525,8.9515,
526,8.6199,
527,10.0818,
528,8.6114,
529,7.8366,
530,8.0056,
531,7.94,
532,7.9884,
533,12.7505,
534,7.9872,
535,7.864,
536,8.0104,
537,7.6383,
538,7.7767,
539,8.0784,
540,11.05,
541,7.7746,
542,8.5877,
543,7.8687,
544,9.221,
545,10.6388,
546,10.4873,
547,11.5584,
548,8.2346,
549,8.8337,
550,8.4445,
551,9.1388,
552,13.2006,
553,8.2581,
554,8.845,
555,8.3236,
556,8.3224,
557,9.1324,
558,10.8271,
559,8.9324,
560,8.7158,
561,9.7304,
562,10.4399,
563,11.5825,
564,9.3003,
565,9.5409,
566,8.4938,
567,10.4869,
568,10.9125,
569,9.1034,
570,9.753,
571,8.3657,
572,9.7898,
573,10.748,
574,8.3525,
575,8.9561,
576,8.4771,
577,8.5193,
578,10.4033,
579,9.0158,
580,9.3209,
581,8.9298,
582,9.6148,
583,9.3757,
584,13.9173,
585,8.5695,
586,9.701,
587,9.2363,
588,9.3982,
589,11.3518,
590,10.0404,
591,9.7278,
592,8.8537,
593,9.0927,
594,9.3683,
595,10.1047,
596,9.2429,
597,8.361,
598,9.4988,
599,8.7861,
600,9.0221,
601,11.0474,
602,8.6525,
603,8.6315,
604,8.6248,
605,10.0069,
606,9.3028,
607,11.4582,
608,9.0039,
609,8.8546,
610,10.0905,
611,13.9419,
612,9.1839,
613,9.269,
614,10.8766,
615,12.5617,
616,9.2987,
617,10.1882,
618,9.2724,
619,9.5198,
620,10.2794,
621,9.704,
622,13.7899,
623,10.5484,
624,9.5094,
625,9.7045,
626,11.6221,
627,9.7101,
628,10.4067,
629,11.2987,
630,11.2245,
631,10.8483,
632,9.5068,
633,9.3297,
634,10.2266,
635,11.1523,
636,9.9563,
637,9.2511,
638,10.3056,
639,9.0149,
640,11.3276,
641,9.8707,
642,9.4401,
643,9.9589,
644,9.375,
645,10.3301,
646,11.5909,
647,9.7053,
648,9.5305,
649,14.0645,
650,14.4723,
651,11.6315,
652,9.7158,
653,10.3146,
654,10.5341,
655,10.0376,
656,14.5416,
657,11.0486,
658,10.8663,
659,9.7503,
660,9.4083,
661,13.2208,
662,14.2965,
663,10.2266,
664,11.4667,
665,13.2489,
666,10.0843,
667,9.7096,
668,11.2778,
669,10.3419,
670,12.3111,
671,10.247,
672,11.7672,
673,9.674,
674,9.9783,
675,11.0882,
676,10.7462,
677,11.0585,
678,9.6576,
679,10.675,
680,13.0203,
681,10.1026,
682,10.6442,
683,10.3854,
684,10.649,
685,10.8077,
686,10.6302,
687,10.9313,
688,10.6355,
689,10.2316,
690,11.2077,
691,11.5682,
692,10.1154,
693,10.8326,
694,11.8358,
695,11.0753,
696,10.3726,
697,10.9392,
698,9.9779,
699,11.5619,
700,11.5283,
701,11.4228,
702,10.7961,
703,10.754,
704,11.9575,
705,10.8017,
706,13.1689,
707,13.837,
708,12.0876,
709,11.2062,
710,10.4879,
711,10.9379,
712,11.5002,
713,11.3378,
714,12.7739,
715,11.431,
716,12.6563,
717,11.0296,
718,10.3434,
719,13.1785,
720,14.135,
721,12.3738,
722,11.8626,
723,11.2402,
724,10.9378,
725,11.4707,
726,11.1163,
727,12.5252,
728,10.9234,
729,11.3878,
730,11.1845,
731,11.6855,
732,13.0668,
733,13.296,
734,11.5587,
735,11.4268,
736,10.8683,
737,14.4502,
738,12.2616,
739,11.0051,
740,11.4447,
741,11.1618,
742,12.5931,
743,10.8777,
744,11.1165,
745,11.3532,
746,10.9825,
747,15.802,
748,12.2723,
749,13.02,
750,11.7541,
751,12.6689,
752,12.3325,
753,10.7714,
754,10.518,
755,10.902,
756,12.74,
757,10.7403,
758,11.402,
759,11.0506,
760,10.6518,
761,10.7848,
762,11.5424,
763,10.5559,
764,10.7902,
765,10.9613,
766,13.7068,
767,11.5916,
768,10.6642,
769,11.3543,
770,10.8495,
771,10.4516,
772,10.256,
773,12.1154,
774,13.1173,
775,10.2799,
776,11.8778,
777,10.4972,
778,10.2735,
779,15.313,
780,11.6444,
781,10.4496,
782,11.598,
783,10.7343,
784,11.1152,
785,10.4354,
786,12.3783,
787,11.3622,
788,10.4105,
789,10.5856,
790,11.2399,
791,16.021,
792,15.1835,
793,12.9153,
794,11.1282,
795,13.7519,
796,11.4912,
797,11.2777,
798,11.0844,
799,10.8706,
800,12.9548,
801,11.3354,
802,11.0345,
803,13.7558,
804,12.653,
805,12.2878,
806,12.3467,
807,13.3157,
808,11.15,
809,11.0154,
810,10.7976,
811,11.0063,
812,11.0995,
813,11.2188,
814,11.2584,
815,10.9595,
816,10.6268,
817,11.3982,
818,10.8521,
819,13.8167,
820,13.2149,
821,12.6526,
822,12.7132,
823,12.046,
824,11.1855,
825,12.9033,
826,11.4998,
827,10.9452,
828,11.3452,
829,11.0221,
