T,X,Y,Z,RX,RY,RZ
412466,-0.98876953125,0.01806640625,-0.02294921875,-0.00225830078125,0.00189208984375,-0.0003662109375
412471,-0.98046875,0.02978515625,-0.009765625,-0.00238037109375,0.00189208984375,-0.00042724609375
412475,-0.98193359375,0.0234375,-0.01806640625,-0.00238037109375,0.001708984375,-0.000244140625
412480,-0.98388671875,0.017578125,-0.033203125,-0.00244140625,0.00177001953125,-0.00048828125
412484,-0.98193359375,0.0205078125,-0.00634765625,-0.002197265625,0.00201416015625,-0.00048828125
412488,-0.97412109375,0.01611328125,-0.0029296875,-0.0023193359375,0.0018310546875,-0.00042724609375
412492,-0.98583984375,0.021484375,-0.0234375,-0.0023193359375,0.0018310546875,-0.00048828125
412496,-0.986328125,0.017578125,-0.0283203125,-0.00250244140625,0.00189208984375,-0.0003662109375
412500,-0.9794921875,0.02294921875,-0.0166015625,-0.0023193359375,0.001953125,-0.00042724609375
412504,-0.98291015625,0.0234375,-0.013671875,-0.00244140625,0.00164794921875,-0.00048828125
412508,-0.98828125,0.02392578125,-0.01904296875,-0.00244140625,0.0018310546875,-0.00042724609375
412512,-0.986328125,0.0244140625,-0.01806640625,-0.00238037109375,0.0018310546875,-0.000244140625
412516,-0.97607421875,0.01416015625,-0.01611328125,-0.00238037109375,0.00177001953125,-0.00018310546875
412521,-0.9833984375,0.0205078125,-0.01806640625,-0.0023193359375,0.0018310546875,-0.00030517578125
412525,-0.98095703125,0.02197265625,-0.01513671875,-0.0023193359375,0.00189208984375,-0.0003662109375
412529,-0.98681640625,0.0263671875,-0.01318359375,-0.0023193359375,0.0018310546875,-0.0003662109375
412533,-0.9794921875,0.01611328125,-0.02587890625,-0.00238037109375,0.00177001953125,-0.00042724609375
412537,-0.98193359375,0.0166015625,-0.0263671875,-0.00244140625,0.0018310546875,-0.00042724609375
412541,-0.984375,0.017578125,-0.0126953125,-0.00244140625,0.00177001953125,-0.0003662109375
412545,-0.9736328125,0.0224609375,-0.02099609375,-0.0023193359375,0.00177001953125,-0.00048828125
412550,-0.98583984375,0.0244140625,-0.001953125,-0.00238037109375,0.00189208984375,-0.000244140625
412554,-0.98046875,0.01953125,-0.01904296875,-0.0025634765625,0.001953125,-0.00048828125
